CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,SupportTickets,Churn
1,52,119.41,3606.26,Two Year,Fiber Optic,7,0
2,15,21.11,3635.72,One Year,No,1,0
3,61,93.02,1483.75,Two Year,DSL,7,0
4,21,77.18,4193.0,Month-to-Month,DSL,8,1
5,24,63.41,1652.54,One Year,Fiber Optic,3,0
6,3,32.76,3652.96,One Year,No,4,0
7,22,60.91,692.9,Month-to-Month,DSL,4,0
8,53,55.44,926.64,Month-to-Month,DSL,1,0
9,2,50.28,1647.4,Month-to-Month,Fiber Optic,4,0
10,30,93.09,3009.98,One Year,Fiber Optic,8,0
11,38,90.07,3263.01,Month-to-Month,No,3,1
12,2,78.9,2042.15,Two Year,Fiber Optic,9,0
13,64,113.87,481.41,Month-to-Month,No,2,1
14,60,54.99,1930.81,Month-to-Month,Fiber Optic,6,1
15,21,44.38,3474.96,Two Year,DSL,7,0
16,33,85.59,3387.88,Month-to-Month,Fiber Optic,9,0
17,58,39.88,884.96,Month-to-Month,Fiber Optic,5,1
18,22,51.5,138.14,Month-to-Month,No,5,0
19,49,42.46,3789.61,One Year,DSL,4,0
20,59,26.92,621.2,Two Year,DSL,5,0
21,42,102.75,503.51,Two Year,DSL,8,0
22,60,45.45,113.24,One Year,Fiber Optic,1,0
23,15,67.3,2219.75,Month-to-Month,DSL,9,1
24,62,24.33,2565.99,Month-to-Month,Fiber Optic,2,1
25,62,89.93,3224.55,Month-to-Month,No,0,0
26,47,53.06,1550.71,Month-to-Month,Fiber Optic,3,0
27,62,94.47,3581.08,Month-to-Month,Fiber Optic,1,0
28,51,61.24,929.73,Month-to-Month,No,5,0
29,55,39.58,4176.75,One Year,Fiber Optic,0,0
30,64,71.32,2902.06,Month-to-Month,DSL,7,1
31,3,33.05,2961.06,One Year,DSL,9,1
32,51,64.05,1127.9,Two Year,Fiber Optic,5,0
33,7,51.73,463.13,One Year,DSL,8,0
34,21,111.2,2377.15,One Year,Fiber Optic,5,0
35,39,26.09,3116.5,One Year,No,9,0
36,18,89.4,565.73,Month-to-Month,Fiber Optic,6,0
37,4,38.28,4757.62,Month-to-Month,DSL,4,1
38,60,51.9,4904.03,Month-to-Month,DSL,7,1
39,14,61.55,2772.74,Month-to-Month,No,7,1
40,9,110.8,4755.34,One Year,No,9,1
41,53,44.26,979.28,Two Year,Fiber Optic,8,1
42,2,29.13,224.56,Two Year,DSL,5,1
43,60,51.87,293.11,Month-to-Month,Fiber Optic,0,0
44,71,30.47,2978.81,Two Year,DSL,8,0
45,44,32.86,402.05,Month-to-Month,DSL,2,0
46,8,77.39,4796.87,Two Year,DSL,8,0
47,47,26.09,795.47,Month-to-Month,Fiber Optic,6,0
48,35,23.09,1593.14,Month-to-Month,DSL,2,1
49,36,91.44,4130.34,Month-to-Month,DSL,8,0
50,50,56.16,1171.83,Two Year,DSL,6,0
51,4,32.54,1290.55,Month-to-Month,Fiber Optic,6,0
52,2,45.36,3247.31,Month-to-Month,Fiber Optic,6,0
53,6,84.21,1452.82,Two Year,DSL,1,0
54,54,47.55,1165.49,Two Year,No,3,0
55,4,69.45,1345.47,Month-to-Month,Fiber Optic,9,0
56,54,32.17,2504.17,One Year,DSL,7,0
57,63,78.81,4833.89,Month-to-Month,DSL,1,0
58,18,51.61,4177.97,Month-to-Month,Fiber Optic,3,0
59,44,82.7,1494.59,Month-to-Month,DSL,9,0
60,34,100.84,1880.53,Month-to-Month,DSL,7,0
61,62,81.16,2376.11,Month-to-Month,Fiber Optic,2,0
62,14,49.57,4896.76,Month-to-Month,Fiber Optic,5,0
63,48,45.57,944.71,Month-to-Month,Fiber Optic,1,0
64,15,52.74,1851.67,One Year,Fiber Optic,7,0
65,62,36.46,3674.19,One Year,No,7,1
66,40,38.12,4823.32,Month-to-Month,DSL,0,0
67,53,99.07,862.81,Month-to-Month,DSL,2,0
68,24,58.47,1214.16,One Year,No,1,1
69,26,63.6,1205.9,One Year,Fiber Optic,6,1
70,60,79.4,202.57,One Year,Fiber Optic,6,0
71,41,78.97,3060.17,Month-to-Month,DSL,3,1
72,29,26.74,3386.45,Month-to-Month,DSL,7,1
73,15,103.15,3052.38,One Year,DSL,2,0
74,45,37.73,449.48,Month-to-Month,Fiber Optic,8,0
75,65,92.31,439.23,Two Year,DSL,4,0
